Search results:
    jquery-address git://github.com/asual/jquery-address.git
    jquery-crop git://github.com/Cinamonas/jquery-crop.git
    jquery-simpleweather git://github.com/monkeecreate/jquery.simpleWeather
    jquery.event.drag-drop git://github.com/dextermilo/jquery.threedubmedia.git
    jquerypp git://github.com/bitovi/jquerypp.git
    jquery.atmosphere git://github.com/blittle/atmosphere.git
    jquery.autoellipsis git://github.com/pvdspek/jquery.autoellipsis.git
    jquery.customSelect git://github.com/adamcoulombe/jquery.customSelect.git
    jquery.serialScroll git://github.com/flesler/jquery.serialScroll.git
    jquery-deparam git://github.com/AceMetrix/jquery-deparam.git
    jquery-dotdotdot git://github.com/FrDH/jQuery.dotdotdot.git
    jquery.flip git://github.com/roncioso/Flip-jQuery.git
    jquery.layout git://github.com/jlbfalcao/jquery.layout.git
    spinjs-jquery git://gist.github.com/1290439.git
    jquery-modality git://github.com/Cinamonas/jquery-modality.git
    jqueryjs git://github.com/bowerjs/jquery.git
    jquery-zclip git://github.com/patricklodder/jquery-zclip.git
    jqueryui-amd git://github.com/jrburke/jqueryui-amd.git
    jquery-ellipsis git://github.com/STAR-ZERO/jquery-ellipsis.git
    jquery-ias git://github.com/webcreate/infinite-ajax-scroll
    jquery-dragpan git://github.com/lgoldstien/jquery-dragpan.git
    jquery-ui-touch-punch-amd git://github.com/GeneralElectric/jquery-ui-touch-punch.git
    jquery.hotkeys git://github.com/tzuryby/jquery.hotkeys.git
    jquery-whenall git://github.com/soundcloud/jquery-whenall
    jquery-hashchange git://github.com/cowboy/jquery-hashchange.git
    jquery-jsonp git://github.com/jaubourg/jquery-jsonp.git
    jquery-pop git://github.com/Cinamonas/jquery-pop.git
    cometd-javascript-jquery git://github.com/marksherretta/cometd-javascript-jquery.git
    jquery-icheck git://github.com/fronteed/iCheck.git
    jquery.dotdotdot git://github.com/BeSite/jQuery.dotdotdot.git
    angular-jquery git://github.com/mgcrea/angular-jquery.git
    jquery-cookie git://github.com/carhartl/jquery-cookie.git
    jquery2 git://github.com/iki/jquery2.git
    jquery-bgiframe git://github.com/brandonaaron/bgiframe.git
    jquery.serializeJSON git://github.com/marioizquierdo/jquery.serializeJSON.git
    jquery-easyxdm git://github.com/GyldendalDigital/jQuery-easyXDM.git
    jquery-validation.password git://github.com/jzaefferer/jquery-validation.password.git
    jquery-timepicker git://github.com/fgelinas/timepicker.git
    jquery-rotate git://github.com/schickling/jquery-rotate
    jquery.colorpicker git://github.com/vanderlee/colorpicker
    jquery-caret git://github.com/DrPheltRight/jquery-caret.git
    jquery.svg git://github.com/apendleton/jquery-svg.git
    jquery-bbq-deparam git://github.com/nexxTM/jquery-deparam.git
    jquery.tinymce git://github.com/rsilve/jquery.tinymce.git
    jquery-htmlclean git://github.com/components/jquery-htmlclean.git
    jquery-dropdown git://github.com/claviska/jquery-dropdown.git
    jquery-Mustache git://github.com/jonnyreeves/jquery-Mustache.git
    jquery.panzoom git://github.com/timmywil/jquery.panzoom.git
    jquery-metadata git://github.com/jquery/jquery-metadata
    jqueryui git://github.com/components/jqueryui.git
    jquery-bootstrap-scripting git://github.com/Nikku/jquery-bootstrap-scripting.git
    jquery-nod git://github.com/casperin/nod.git
    jquery-truncate git://github.com/pathable/truncate.git
    jquery-linkify git://github.com/maranomynet/linkify.git
    stupid-jquery-table-sort git://github.com/joequery/Stupid-Table-Plugin.git
    jquery.fixedheadertable git://github.com/markmalek/Fixed-Header-Table.git
    jquery-image-uploader git://github.com/jdeniau/jquery-image-uploader.git
    jquery-cardify git://github.com/mverhaagen/cardify.git
    jquery-number git://github.com/teamdf/jquery-number
    jquery-serializeObject git://github.com/gillesruppert/jquery-serializeObject
    jquery.livequery git://github.com/hazzik/livequery.git
    jquery-zoom git://github.com/jackmoore/zoom.git
    jquery-overscroll git://github.com/azoff/Overscroll
    jquery-oauthpopup git://github.com/MfgLabs/jquery-oauthpopup.git
    jquery-mmenu git://github.com/jackncoke/jquery-mmenu.git
    jquery.spinjs git://github.com/tdoherty/jQuery.SpinJS.git
    jquery.iecors git://github.com/dkastner/jquery.iecors
    jquery.bind-first git://github.com/private-face/jquery.bind-first.git
    jquery-serializeForm git://github.com/danheberden/jquery-serializeForm
    jquery-multiselect git://github.com/dio-el-claire/jquery-multiselect
    jquery.formParams git://github.com/tinganho/jquery.formParams
    jquery.dform git://github.com/daffl/jquery.dform.git
    requirejs-jquery git://github.com/jrburke/require-jquery.git
    jquery-prestige git://github.com/Munter/jquery-prestige.git
    jquery.unslider git://github.com/idiot/unslider.git
    jquery-dragon git://github.com/jeremyckahn/dragon.git
    jquery.videobackground git://github.com/georgepaterson/jquery-videobackground.git
    jquery.shuffle git://github.com/caphun/jquery.shuffle.git
    jquery-browser-selector git://github.com/schickling/jquery-browser-selector
    jquery-ui-ember git://github.com/bobey/jquery-ui-ember.git
    dt-jquery2 git://github.com/dt-bower/dt-jquery.git
    jquery_jeditable git://github.com/chilijung/jquery_jeditable.git
    jquery-nearest git://github.com/gilmoreorless/jquery-nearest.git
    jquery-popover git://github.com/klaas4/jQuery.popover.git
    jquery-mobile-events git://github.com/caseywebdev/jquery-mobile-events
    jquery-placeholder2 git://github.com/jgallen23/jquery-placeholder.git
    jakobmattsson-jquery-elastic git://github.com/jakobmattsson/jquery-elastic
    jqueryui-sunrise-bower git://github.com/Victa/jqueryui-sunrise-bower.git
    jquery.columnizer git://github.com/adamwulf/Columnizer-jQuery-Plugin.git
    jquery-dropout-menu git://github.com/psirenny/jquery-dropout-menu.git
    jquery-smooth-scrolling git://github.com/mathiasbynens/jquery-smooth-scrolling.git
    jquery.equalheights git://github.com/mattbanks/jQuery.equalHeights.git
    jquery-mobile-min git://github.com/dimsk/jquery-mobile
    jquery-outside-events git://github.com/cowboy/jquery-outside-events/
    jquery-selectorator git://github.com/ngs/jquery-selectorator.git
    jquery-extended-selectors git://github.com/keithclark/JQuery-Extended-Selectors.git
    jquery-hammerjs git://github.com/EightMedia/jquery.hammer.js.git
    jquery.visible git://github.com/teamdf/jquery-visible.git
    troopjs-jquery git://github.com/troopjs/troopjs-jquery.git
    jquery-elementDiff git://github.com/ngs/jquery-elementDiff.git
    jquery.scrollorama git://github.com/johnpolacek/scrollorama.git
    jquery-details git://github.com/mathiasbynens/jquery-details.git
    jquery.autotab git://github.com/map7/jquery.autotab
    bootstrap-jquery-tags git://github.com/sunliwen/bootstrap-jquery-tags.git
    zepto-as-jquery git://github.com/pleasedontbelong/zepto.git
